"","ypchtotcor","v13","v29","p6"
"388",136976,2,NA,4
"389",136976,2,NA,4
"390",125417,1,2,7
"391",125417,1,2,7
"392",125417,1,2,7
"393",275234,3,99,7
"394",275234,3,99,7
"395",275234,3,99,7
"396",275234,3,99,7
"397",118667,2,NA,5
"398",118667,2,NA,5
"399",118667,2,NA,5
"400",118667,2,NA,5
"401",118667,2,NA,5
"402",156325,2,NA,3
"403",156325,2,NA,3
"404",156325,2,NA,3
"405",15000,2,NA,3
"406",15000,2,NA,3
"407",15000,2,NA,3
"408",6e+05,2,NA,1
"409",370000,2,NA,1
"410",1e+05,2,NA,2
"411",1e+05,2,NA,2
"412",545655,1,NA,2
"413",545655,1,NA,2
"414",284375,1,NA,4
"415",284375,1,NA,4
"416",284375,1,NA,4
"417",284375,1,NA,4
"418",340000,2,NA,1
"419",352053,9,NA,3
"420",352053,9,NA,3
"421",352053,9,NA,3
"422",95034,1,NA,5
"423",95034,1,NA,5
"424",95034,1,NA,5
"425",95034,1,NA,5
"426",95034,1,NA,5
"427",214100,9,NA,3
"428",214100,9,NA,3
"429",214100,9,NA,3
"430",414579,1,NA,1
"431",126550,1,NA,5
"432",126550,1,NA,5
"433",126550,1,NA,5
"434",126550,1,NA,5
"435",126550,1,NA,5
"436",187451,1,NA,6
"437",187451,1,NA,6
"438",187451,1,NA,6
"439",187451,1,NA,6
"440",187451,1,NA,6
"441",187451,1,NA,6
"442",1102619,3,NA,6
"443",1102619,3,NA,6
"444",1102619,3,NA,6
"445",1102619,3,NA,6
"446",1102619,3,NA,6
"447",1102619,3,NA,6
"448",171339,1,NA,3
"449",171339,1,NA,3
"450",171339,1,NA,3
"451",322016,1,NA,3
"452",322016,1,NA,3
"453",322016,1,NA,3
"454",139657,1,NA,5
"455",139657,1,NA,5
"456",139657,1,NA,5
"457",139657,1,NA,5
"458",139657,1,NA,5
"459",250209,2,NA,2
"460",250209,2,NA,2
"461",368056,1,NA,3
"462",368056,1,NA,3
"463",368056,1,NA,3
"464",560086,1,NA,1
"465",414270,1,NA,2
"466",414270,1,NA,2
"467",120051,1,NA,2
"468",120051,1,NA,2
"469",272389,9,NA,3
"470",272389,9,NA,3
"471",272389,9,NA,3
"472",192851,2,NA,6
"473",192851,2,NA,6
"474",192851,2,NA,6
"475",192851,2,NA,6
"476",192851,2,NA,6
"477",192851,2,NA,6
"478",66172,1,NA,6
"479",66172,1,NA,6
"480",66172,1,NA,6
"481",66172,1,NA,6
"482",66172,1,NA,6
"483",66172,1,NA,6
"484",520167,1,NA,3
"485",520167,1,NA,3
"486",520167,1,NA,3
"487",293111,9,NA,1
"488",303750,2,NA,4
"489",303750,2,NA,4
"490",303750,2,NA,4
"491",303750,2,NA,4
"492",71796,2,NA,4
"493",71796,2,NA,4
"494",71796,2,NA,4
"495",71796,2,NA,4
"496",0,2,3,16
"497",0,2,3,16
"498",0,2,3,16
"499",0,2,3,16
"500",0,2,3,16
"501",0,2,3,16
"502",343293,1,NA,4
"503",343293,1,NA,4
"504",343293,1,NA,4
"505",343293,1,NA,4
"506",79563,2,NA,4
"507",79563,2,NA,4
"508",79563,2,NA,4
"509",79563,2,NA,4
"510",496000,2,NA,1
"511",120429,3,3,9
"512",120429,3,3,9
"513",120429,3,3,9
"514",120429,3,3,9
"515",120429,3,3,9
"516",207287,1,NA,5
"517",207287,1,NA,5
"518",207287,1,NA,5
"519",207287,1,NA,5
"520",207287,1,NA,5
"521",189238,1,NA,3
"522",189238,1,NA,3
"523",189238,1,NA,3
"524",410753,3,NA,1
"525",301611,1,NA,6
"526",301611,1,NA,6
"527",301611,1,NA,6
"528",301611,1,NA,6
"529",301611,1,NA,6
"530",301611,1,NA,6
"531",592417,1,NA,2
"532",592417,1,NA,2
"533",389660,3,NA,3
"534",389660,3,NA,3
"535",389660,3,NA,3
"536",185542,3,NA,2
"537",185542,3,NA,2
"538",135278,2,NA,3
"539",135278,2,NA,3
"540",135278,2,NA,3
"541",511250,2,NA,1
"542",284389,1,NA,3
"543",284389,1,NA,3
"544",284389,1,NA,3
"545",3e+05,1,NA,4
"546",3e+05,1,NA,4
"547",3e+05,1,NA,4
"548",3e+05,1,NA,4
"549",1337500,3,NA,2
"550",1337500,3,NA,2
"551",67083,2,NA,6
"552",67083,2,NA,6
"553",67083,2,NA,6
"554",67083,2,NA,6
"555",67083,2,NA,6
"556",67083,2,NA,6
"557",223000,2,NA,3
"558",223000,2,NA,3
"559",223000,2,NA,3
"560",915000,1,NA,2
"561",915000,1,NA,2
"562",453113,2,NA,4
"563",453113,2,NA,4
"564",453113,2,NA,4
"565",453113,2,NA,4
"566",9e+05,1,NA,1
"567",303333,1,NA,7
"568",303333,1,NA,7
"569",303333,1,NA,7
"570",303333,1,NA,7
"571",303333,1,NA,7
"572",303333,1,NA,7
"573",303333,1,NA,7
"574",26483,2,NA,3
"575",26483,2,NA,3
"576",26483,2,NA,3
"577",4583,2,NA,1
"578",156250,2,NA,4
"579",156250,2,NA,4
"580",156250,2,NA,4
"581",156250,2,NA,4
"582",557239,1,NA,3
"583",557239,1,NA,3
"584",557239,1,NA,3
"585",132372,2,NA,4
"586",132372,2,NA,4
"587",132372,2,NA,4
"588",132372,2,NA,4
"589",63611,2,NA,7
"590",63611,2,NA,7
"591",63611,2,NA,7
"592",63611,2,NA,7
"593",63611,2,NA,7
"594",63611,2,NA,7
"595",63611,2,NA,7
"596",558622,1,NA,5
"597",558622,1,NA,5
"598",558622,1,NA,5
"599",558622,1,NA,5
"600",558622,1,NA,5
"601",280325,3,NA,2
"602",280325,3,NA,2
"603",250000,3,NA,2
"604",250000,3,NA,2
"605",42857,1,NA,7
"606",42857,1,NA,7
"607",42857,1,NA,7
"608",42857,1,NA,7
"609",42857,1,NA,7
"610",42857,1,NA,7
"611",42857,1,NA,7
"612",136250,2,NA,2
"613",136250,2,NA,2
"614",70625,2,NA,4
"615",70625,2,NA,4
"616",70625,2,NA,4
"617",70625,2,NA,4
"618",216000,2,NA,5
"619",216000,2,NA,5
"620",216000,2,NA,5
"621",216000,2,NA,5
"622",216000,2,NA,5
"623",680000,1,NA,2
"624",680000,1,NA,2
"625",806250,2,NA,2
"626",806250,2,NA,2
"627",222677,2,NA,2
"628",222677,2,NA,2
"629",0,2,NA,1
"630",350000,2,NA,1
"631",9e+05,3,NA,1
"632",175000,2,NA,4
"633",175000,2,NA,4
"634",175000,2,NA,4
"635",175000,2,NA,4
"636",455556,2,NA,3
"637",455556,2,NA,3
"638",455556,2,NA,3
"639",970128,1,NA,3
"640",970128,1,NA,3
"641",970128,1,NA,3
"642",97147,2,NA,2
"643",97147,2,NA,2
"644",0,2,NA,2
"645",0,2,NA,2
"646",320000,3,NA,3
"647",320000,3,NA,3
"648",320000,3,NA,3
"649",301800,1,NA,5
"650",301800,1,NA,5
"651",301800,1,NA,5
"652",301800,1,NA,5
"653",301800,1,NA,5
"654",436884,3,NA,5
"655",436884,3,NA,5
"656",436884,3,NA,5
"657",436884,3,NA,5
"658",436884,3,NA,5
"659",295639,2,5,9
"660",295639,2,5,9
"661",295639,2,5,9
"662",295639,2,5,9
"663",295639,2,5,9
"664",386417,2,99,9
"665",386417,2,99,9
"666",386417,2,99,9
"667",386417,2,99,9
"668",163327,2,NA,3
"669",163327,2,NA,3
"670",163327,2,NA,3
"671",2e+06,2,NA,1
"672",266667,2,NA,4
"673",266667,2,NA,4
"674",266667,2,NA,4
"675",266667,2,NA,4
"676",364674,1,2,6
"677",364674,1,2,6
"678",364674,1,2,6
"679",364674,1,2,6
"680",364674,1,2,6
"681",579486,1,NA,8
"682",579486,1,NA,8
"683",579486,1,NA,8
"684",579486,1,NA,8
"685",579486,1,NA,8
"686",579486,1,NA,8
"687",579486,1,NA,8
"688",579486,1,NA,8
"689",252540,3,NA,2
"690",252540,3,NA,2
"691",140929,2,NA,7
"692",140929,2,NA,7
"693",140929,2,NA,7
"694",140929,2,NA,7
"695",140929,2,NA,7
"696",140929,2,NA,7
"697",140929,2,NA,7
"698",443978,1,NA,3
"699",443978,1,NA,3
"700",443978,1,NA,3
"701",750000,1,1,3
"702",675972,11,NA,3
"703",675972,11,NA,3
"704",675972,11,NA,3
"705",427463,2,NA,5
"706",427463,2,NA,5
"707",427463,2,NA,5
"708",427463,2,NA,5
"709",427463,2,NA,5
"710",318056,2,NA,3
"711",318056,2,NA,3
"712",318056,2,NA,3
"713",156957,1,NA,5
"714",156957,1,NA,5
"715",156957,1,NA,5
"716",156957,1,NA,5
"717",156957,1,NA,5
"718",875000,1,NA,2
"719",875000,1,NA,2
"720",247412,1,NA,4
"721",247412,1,NA,4
"722",247412,1,NA,4
"723",247412,1,NA,4
"724",146450,2,NA,5
"725",146450,2,NA,5
"726",146450,2,NA,5
"727",146450,2,NA,5
"728",146450,2,NA,5
"729",100498,2,NA,4
"730",100498,2,NA,4
"731",100498,2,NA,4
"732",100498,2,NA,4
"733",153955,3,NA,3
"734",153955,3,NA,3
"735",153955,3,NA,3
"736",134959,2,NA,2
"737",134959,2,NA,2
"738",469021,9,NA,2
"739",469021,9,NA,2
"740",403464,2,NA,5
"741",403464,2,NA,5
"742",403464,2,NA,5
"743",403464,2,NA,5
"744",403464,2,NA,5
"745",1330000,1,NA,1
"746",996296,1,NA,1
"747",198750,2,NA,3
"748",198750,2,NA,3
"749",198750,2,NA,3
"750",NA,3,NA,2
"751",1252379,3,NA,2
"752",270744,1,NA,2
"753",270744,1,NA,2
"754",1700000,2,NA,1
"755",820000,3,NA,1
"756",514500,1,NA,2
"757",514500,1,NA,2
"758",470420,2,NA,3
"759",470420,2,NA,3
"760",470420,2,NA,3
"761",703000,2,NA,2
"762",703000,2,NA,2
"763",440000,2,NA,3
"764",440000,2,NA,3
"765",440000,2,NA,3
"766",309609,2,NA,2
"767",309609,2,NA,2
"768",1e+05,2,NA,2
"769",1e+05,2,NA,2
"770",666632,1,NA,2
"771",666632,1,NA,2
"772",314015,1,NA,4
"773",314015,1,NA,4
"774",314015,1,NA,4
"775",314015,1,NA,4
"776",325000,1,NA,2
"777",325000,1,NA,2
"778",372700,1,NA,3
"779",372700,1,NA,3
"780",372700,1,NA,3
"781",405243,3,NA,4
"782",405243,3,NA,4
"783",405243,3,NA,4
"784",405243,3,NA,4
"785",238333,1,NA,1
"786",440620,2,NA,5
"787",440620,2,NA,5
"788",440620,2,NA,5
"789",440620,2,NA,5
"790",440620,2,NA,5
"791",283679,1,NA,4
"792",283679,1,NA,4
"793",283679,1,NA,4
"794",283679,1,NA,4
"795",126389,2,NA,3
"796",126389,2,NA,3
"797",126389,2,NA,3
"798",118000,2,NA,1
"799",222500,2,NA,2
"800",222500,2,NA,2
"801",532492,1,NA,5
"802",532492,1,NA,5
"803",532492,1,NA,5
"804",532492,1,NA,5
"805",532492,1,NA,5
"806",331163,3,1,5
"807",331163,3,1,5
"808",331163,3,1,5
"809",414579,3,2,5
"810",436250,3,NA,2
"811",436250,3,NA,2
"812",186281,3,NA,5
"813",186281,3,NA,5
"814",186281,3,NA,5
"815",186281,3,NA,5
"816",186281,3,NA,5
"817",146917,1,NA,4
"818",146917,1,NA,4
"819",146917,1,NA,4
"820",146917,1,NA,4
"821",256583,3,NA,5
"822",256583,3,NA,5
"823",256583,3,NA,5
"824",256583,3,NA,5
"825",256583,3,NA,5
"826",446756,3,NA,3
"827",446756,3,NA,3
"828",446756,3,NA,3
"829",408702,3,NA,3
"830",408702,3,NA,3
"831",408702,3,NA,3
"832",57834,2,NA,1
"833",450000,9,NA,2
"834",450000,9,NA,2
"835",285310,1,NA,3
