"","ypchtotcor","v13","v29","p6"
"369",237500,9,3,5
"370",237500,9,3,5
"371",237500,9,3,5
"372",545379,1,1,5
"373",480000,1,1,4
"374",480000,1,1,4
"375",204792,9,1,6
"376",204792,9,1,6
"377",2e+05,2,1,8
"378",774167,1,1,2
"379",267322,1,3,3
"380",267322,1,3,3
"381",126310,3,99,3
"382",71320,1,2,6
"383",71320,1,2,6
"384",71320,1,2,6
"385",71320,1,2,6
"386",71320,1,2,6
"387",179125,1,1,6
"388",179125,1,1,6
"389",145750,1,2,7
"390",145750,1,2,7
"391",145750,1,2,7
"392",43333,11,1,5
"393",188000,2,2,6
"394",188000,2,2,6
"395",188000,2,2,6
"396",188000,2,2,6
"397",188000,2,2,6
"398",365834,9,1,7
"399",365834,9,1,7
"400",231685,2,1,6
"401",231685,2,1,6
"402",231685,2,1,6
"403",263549,3,2,7
"404",263549,3,2,7
"405",263549,3,2,7
"406",464487,1,1,8
"407",464487,1,1,8
"408",464487,1,1,8
"409",138250,1,2,6
"410",138250,1,2,6
"411",63333,3,99,6
"412",63333,3,99,6
"413",63333,3,99,6
"414",63333,3,99,6
"415",109445,1,2,4
"416",109445,1,2,4
"417",109445,1,2,4
"418",406667,1,2,5
"419",406667,1,2,5
"420",406667,1,2,5
"421",262718,3,1,6
"422",262718,3,1,6
"423",262718,3,1,6
"424",149167,2,1,7
"425",149167,2,1,7
"426",149167,2,1,7
"427",167917,3,1,6
"428",167917,3,1,6
"429",167917,3,1,6
"430",167917,3,1,6
"431",212500,2,1,5
"432",212500,2,1,5
"433",212500,2,1,5
"434",212500,2,1,5
"435",226250,1,2,5
"436",226250,1,2,5
"437",221072,3,2,15
"438",221072,3,2,15
"439",221072,3,2,15
"440",221072,3,2,15
"441",79167,2,1,4
"442",79167,2,1,4
"443",99907,9,4,6
"444",99907,9,4,6
"445",99907,9,4,6
"446",99907,9,4,6
"447",364627,3,99,6
"448",364627,3,99,6
"449",222866,3,2,6
"450",222866,3,2,6
"451",222866,3,2,6
"452",222866,3,2,6
"453",259305,3,1,4
"454",259305,3,1,4
"455",259305,3,1,4
"456",694609,1,1,4
"457",429584,3,3,2
"458",247500,1,1,2
"459",198725,1,2,4
"460",198725,1,2,4
"461",198725,1,2,4
"462",177250,3,2,10
"463",177250,3,2,10
"464",177250,3,2,10
"465",177250,3,2,10
"466",177250,3,2,10
"467",398804,1,2,3
"468",398804,1,2,3
"469",450000,2,1,3
"470",430000,2,1,2
"471",421667,1,2,5
"472",421667,1,2,5
"473",421667,1,2,5
"474",275000,3,2,3
"475",275000,3,2,3
"476",475777,1,1,5
"477",475777,1,1,5
"478",325767,3,99,5
"479",325767,3,99,5
"480",325767,3,99,5
"481",267381,1,5,12
"482",267381,1,5,12
"483",267381,1,5,12
"484",267381,1,5,12
"485",267381,1,5,12
"486",267381,1,5,12
"487",267381,1,5,12
"488",26667,9,99,12
"489",26667,9,99,12
"490",26667,9,99,12
"491",1116667,2,1,3
"492",1311831,2,1,3
"493",268065,1,3,8
"494",268065,1,3,8
"495",268065,1,3,8
"496",268065,1,3,8
"497",330000,2,1,3
"498",177354,3,5,10
"499",177354,3,5,10
"500",177354,3,5,10
"501",177354,3,5,10
"502",409000,1,3,5
"503",409000,1,3,5
"504",409000,1,3,5
"505",264167,3,1,2
"506",393501,2,2,5
"507",393501,2,2,5
"508",205555,2,99,5
"509",205555,2,99,5
"510",205555,2,99,5
"511",391016,1,2,10
"512",391016,1,2,10
"513",391016,1,2,10
"514",652083,2,3,6
"515",652083,2,3,6
"516",652083,2,3,6
"517",652083,2,3,6
"518",365000,9,1,6
"519",365000,9,1,6
"520",512188,1,99,6
"521",512188,1,99,6
"522",512188,1,99,6
"523",512188,1,99,6
"524",753333,2,2,2
"525",551042,1,2,5
"526",551042,1,2,5
"527",551042,1,2,5
"528",551042,1,2,5
"529",150000,2,1,5
"530",239074,2,1,3
"531",239074,2,1,3
"532",6e+05,3,1,3
"533",950000,1,1,4
"534",950000,1,1,4
"535",4584,2,1,3
"536",4584,2,1,3
"537",229957,3,3,9
"538",229957,3,3,9
"539",229957,3,3,9
"540",229957,3,3,9
"541",229957,3,3,9
"542",120000,10,1,3
"543",225750,3,99,3
"544",225750,3,99,3
"545",250000,9,5,5
"546",250000,9,5,5
"547",250000,9,5,5
"548",250000,9,5,5
"549",123611,2,1,5
"550",123611,2,1,5
"551",123611,2,1,5
"552",150000,2,99,5
"553",150000,2,99,5
"554",95583,1,3,6
"555",95583,1,3,6
"556",95583,1,3,6
"557",95583,1,3,6
"558",95583,1,3,6
"559",126042,1,3,17
"560",126042,1,3,17
"561",126042,1,3,17
"562",126042,1,3,17
"563",233750,3,3,9
"564",233750,3,3,9
"565",233750,3,3,9
"566",233750,3,3,9
"567",130229,2,4,11
"568",130229,2,4,11
"569",130229,2,4,11
"570",130229,2,4,11
"571",130229,2,4,11
"572",130229,2,4,11
"573",130229,2,4,11
"574",130229,2,4,11
"575",130229,2,4,11
"576",130229,2,4,11
"577",401667,2,0,11
"578",351569,1,2,4
"579",351569,1,2,4
"580",211438,2,1,4
"581",211438,2,1,4
"582",150925,2,2,7
"583",150925,2,2,7
"584",150925,2,2,7
"585",150925,2,2,7
"586",150925,2,2,7
"587",602084,2,2,4
"588",602084,2,2,4
"589",270000,1,3,7
"590",270000,1,3,7
"591",270000,1,3,7
"592",270000,1,3,7
"593",270000,1,3,7
"594",1598333,1,99,7
"595",1598333,1,99,7
"596",995000,3,1,2
"597",232945,3,3,8
"598",232945,3,3,8
"599",232945,3,3,8
"600",232945,3,3,8
"601",232945,3,3,8
"602",232945,3,3,8
"603",202500,2,1,7
"604",202500,2,1,7
"605",108667,2,99,7
"606",108667,2,99,7
"607",108667,2,99,7
"608",179009,1,2,9
"609",179009,1,2,9
"610",179009,1,2,9
"611",179009,1,2,9
"612",349792,3,2,3
"613",349792,3,2,3
"614",283333,1,3,5
"615",283333,1,3,5
"616",283333,1,3,5
"617",414242,3,4,5
"618",414242,3,4,5
"619",414242,3,4,5
"620",414242,3,4,5
"621",4e+05,3,2,5
"622",4e+05,3,2,5
"623",320833,2,1,4
"624",370150,9,1,7
"625",370150,9,1,7
"626",246323,1,5,7
"627",246323,1,5,7
"628",246323,1,5,7
"629",506884,1,99,7
"630",22222,2,2,5
"631",22222,2,2,5
"632",22222,2,2,5
"633",96250,2,1,4
"634",202301,2,1,3
"635",218750,9,1,6
"636",218750,9,1,6
"637",218750,9,1,6
"638",218750,9,1,6
"639",246333,3,2,4
"640",246333,3,2,4
"641",246333,3,2,4
"642",254167,1,1,4
"643",154789,2,1,10
"644",154789,2,1,10
"645",154789,2,1,10
"646",551833,9,3,12
"647",551833,9,3,12
"648",551833,9,3,12
"649",209213,1,3,6
"650",209213,1,3,6
"651",209213,1,3,6
"652",350000,1,1,5
"653",350000,1,1,5
"654",810000,1,1,2
"655",367500,2,1,5
"656",367500,2,1,5
"657",170917,1,8,16
"658",170917,1,8,16
"659",170917,1,8,16
"660",170917,1,8,16
"661",170917,1,8,16
"662",170917,1,8,16
"663",170917,1,8,16
"664",170917,1,8,16
"665",170917,1,8,16
"666",170917,1,8,16
"667",310000,1,2,3
"668",310000,1,2,3
"669",276310,1,1,3
"670",264244,1,5,12
"671",264244,1,5,12
"672",264244,1,5,12
"673",264244,1,5,12
"674",169444,2,1,5
"675",169444,2,1,5
"676",169444,2,1,5
"677",105383,9,3,14
"678",105383,9,3,14
"679",105383,9,3,14
"680",105383,9,3,14
"681",105383,9,3,14
"682",105383,9,3,14
"683",105383,9,3,14
